exerciseName,exerciseType,rep,holdTime,set,targetArea,difficulty,equipmentNeeded,aiTrackingEnabled,description,demoVideo,image,intensity,intended_effects,contraindications,movement_plane,progressions
neck extension,repetition,15.0,,3,neck,easy,None,True,Neck Extension: Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/11.mp4,https://example.com/image/11.jpg,low,"mobility, postural_control",avoid_for_acute_injury,sagittal,intermediate variation
shoulder flexion with band - left - right,repetition,20.0,,3,shoulder,easy,Resistance Band,True,Shoulder Flexion with Band - Left - Right: Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/12.mp4,https://example.com/image/12.jpg,low,"mobility, strengthening",avoid_overhead_if_painful,sagittal,intermediate variation
wrist flexor stretch (assisted),repetition,15.0,,3,elbow,hard,None,True,Wrist Flexor Stretch (Assisted): Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/13.mp4,https://example.com/image/13.jpg,high,mobility,none,sagittal,none
wrist flexion stretch,repetition,6.0,,3,wrist/hand,easy,None,True,Wrist Flexion Stretch: Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/14.mp4,https://example.com/image/14.jpg,low,"mobility, neural_glide",none,sagittal,intermediate variation
bridge,repetition,8.0,,3,spine/core,medium,None,True,Bridge: Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/15.mp4,https://example.com/image/15.jpg,high,"stability, posture_control",avoid_heavy_loads,sagittal,none
hip abduction,repetition,8.0,,3,hip,medium,Dumbbell,True,Hip Abduction: Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/16.mp4,https://example.com/image/16.jpg,high,"mobility, strengthening",none,sagittal,none
mini squat,repetition,10.0,,3,knee,hard,Foam Roller,True,Mini Squat: Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/17.mp4,https://example.com/image/17.jpg,high,"strengthening, range_of_motion",avoid_high_impact,sagittal,none
toe raises (with band),repetition,12.0,,3,ankle/foot,medium,Wall,True,Toe Raises (With Band): Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/18.mp4,https://example.com/image/18.jpg,high,"balance, proprioception",none,sagittal,none
thoracic extension on foam roller,repetition,10.0,,3,chest,medium,Resistance Band,True,Thoracic Extension on Foam Roller: Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/19.mp4,https://example.com/image/19.jpg,high,mobility,none,sagittal,none
kegels,hold,,30.0,3,pelvis,hard,Resistance Band,True,Kegels: Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/20.mp4,https://example.com/image/20.jpg,high,mobility,none,sagittal,none
neck rotation,repetition,6.0,,3,neck,medium,None,True,Neck Rotation: Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/21.mp4,https://example.com/image/21.jpg,high,"mobility, postural_control",avoid_for_acute_injury,sagittal,none
shoulder flexion with band (seated),hold,,10.0,3,shoulder,medium,None,True,Shoulder Flexion with Band (Seated): Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/22.mp4,https://example.com/image/22.jpg,high,"mobility, strengthening",avoid_overhead_if_painful,sagittal,none
forearm pronation (lying),repetition,8.0,,3,elbow,medium,Dumbbell,True,Forearm Pronation (Lying): Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/23.mp4,https://example.com/image/23.jpg,high,mobility,none,sagittal,none
wrist extension stretch (assisted),hold,,10.0,3,wrist/hand,medium,Wall,True,Wrist Extension Stretch (Assisted): Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/24.mp4,https://example.com/image/24.jpg,high,"mobility, neural_glide",none,sagittal,none
bridge (slow) - right,repetition,15.0,,3,spine/core,easy,None,True,Bridge (Slow) - Right: Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/25.mp4,https://example.com/image/25.jpg,low,"stability, posture_control",avoid_heavy_loads,sagittal,intermediate variation
hip abduction - right,hold,,45.0,3,hip,easy,Resistance Band,True,Hip Abduction - Right: Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/26.mp4,https://example.com/image/26.jpg,low,"mobility, strengthening",none,sagittal,intermediate variation
mini squat,hold,,15.0,3,knee,easy,None,True,Mini Squat: Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/27.mp4,https://example.com/image/27.jpg,low,"strengthening, range_of_motion",avoid_high_impact,sagittal,intermediate variation
towel scrunches - right,repetition,12.0,,3,ankle/foot,easy,Resistance Band,True,Towel Scrunches - Right: Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/28.mp4,https://example.com/image/28.jpg,low,"balance, proprioception",none,sagittal,intermediate variation
thoracic extension on foam roller,repetition,6.0,,3,chest,medium,None,True,Thoracic Extension on Foam Roller: Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/29.mp4,https://example.com/image/29.jpg,high,mobility,none,sagittal,none
hip rolls (advanced),repetition,15.0,,3,pelvis,easy,None,True,Hip Rolls (Advanced): Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/30.mp4,https://example.com/image/30.jpg,low,mobility,none,sagittal,intermediate variation
chin tucks (with band),repetition,15.0,,3,neck,medium,Resistance Band,True,Chin Tucks (With Band): Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/31.mp4,https://example.com/image/31.jpg,high,"mobility, postural_control",avoid_for_acute_injury,sagittal,none
external rotation,repetition,20.0,,3,shoulder,medium,None,True,External Rotation: Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/32.mp4,https://example.com/image/32.jpg,high,"mobility, strengthening",avoid_overhead_if_painful,sagittal,none
forearm pronation (isometric),hold,,10.0,3,elbow,easy,Stability Ball,True,Forearm Pronation (Isometric): Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/33.mp4,https://example.com/image/33.jpg,low,mobility,none,sagittal,intermediate variation
wrist flexion stretch (with band),repetition,6.0,,3,wrist/hand,hard,None,True,Wrist Flexion Stretch (With Band): Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/34.mp4,https://example.com/image/34.jpg,high,"mobility, neural_glide",none,sagittal,none
bird dog,hold,,60.0,3,spine/core,medium,Resistance Band,True,Bird Dog: Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/35.mp4,https://example.com/image/35.jpg,high,"stability, posture_control",avoid_heavy_loads,sagittal,none
standing hip extension (standing),repetition,6.0,,3,hip,medium,None,True,Standing Hip Extension (Standing): Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/36.mp4,https://example.com/image/36.jpg,high,"mobility, strengthening",none,sagittal,none
hamstring curl,repetition,10.0,,3,knee,medium,None,True,Hamstring Curl: Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/37.mp4,https://example.com/image/37.jpg,high,"strengthening, range_of_motion",avoid_high_impact,sagittal,none
ankle circles (assisted) - right,repetition,8.0,,3,ankle/foot,medium,None,True,Ankle Circles (Assisted) - Right: Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/38.mp4,https://example.com/image/38.jpg,high,"balance, proprioception",none,sagittal,none
wall push-up - right,repetition,20.0,,3,chest,hard,None,True,Wall Push-up - Right: Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/39.mp4,https://example.com/image/39.jpg,high,mobility,none,sagittal,none
hip rolls,repetition,6.0,,3,pelvis,hard,None,True,Hip Rolls: Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/40.mp4,https://example.com/image/40.jpg,high,mobility,none,sagittal,none
neck extension,hold,,45.0,3,neck,medium,Towel,True,Neck Extension: Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/41.mp4,https://example.com/image/41.jpg,high,"mobility, postural_control",avoid_for_acute_injury,sagittal,none
shoulder flexion with band,hold,,10.0,3,shoulder,easy,Towel,True,Shoulder Flexion with Band: Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/42.mp4,https://example.com/image/42.jpg,low,"mobility, strengthening",avoid_overhead_if_painful,sagittal,intermediate variation
forearm pronation,repetition,20.0,,3,elbow,easy,Foam Roller,True,Forearm Pronation: Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/43.mp4,https://example.com/image/43.jpg,low,mobility,none,sagittal,intermediate variation
grip strengthening (advanced),hold,,15.0,3,wrist/hand,easy,None,True,Grip Strengthening (Advanced): Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/44.mp4,https://example.com/image/44.jpg,low,"mobility, neural_glide",none,sagittal,intermediate variation
cat-cow (standing),repetition,12.0,,3,spine/core,medium,Foam Roller,True,Cat-Cow (Standing): Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/45.mp4,https://example.com/image/45.jpg,high,"stability, posture_control",avoid_heavy_loads,sagittal,none
hip abduction - left,repetition,10.0,,3,hip,easy,None,True,Hip Abduction - Left: Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/46.mp4,https://example.com/image/46.jpg,low,"mobility, strengthening",none,sagittal,intermediate variation
hamstring curl,repetition,12.0,,3,knee,hard,None,True,Hamstring Curl: Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/47.mp4,https://example.com/image/47.jpg,high,"strengthening, range_of_motion",avoid_high_impact,sagittal,none
ankle circles - left,repetition,20.0,,3,ankle/foot,hard,Resistance Band,True,Ankle Circles - Left: Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/48.mp4,https://example.com/image/48.jpg,high,"balance, proprioception",none,sagittal,none
doorway stretch - left,repetition,10.0,,3,chest,medium,None,True,Doorway Stretch - Left: Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/49.mp4,https://example.com/image/49.jpg,high,mobility,none,sagittal,none
hip rolls,repetition,15.0,,3,pelvis,easy,None,True,Hip Rolls: Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/50.mp4,https://example.com/image/50.jpg,low,mobility,none,sagittal,intermediate variation
neck rotation,repetition,15.0,,3,neck,medium,None,True,Neck Rotation: Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/51.mp4,https://example.com/image/51.jpg,high,"mobility, postural_control",avoid_for_acute_injury,sagittal,none
shoulder flexion with band,repetition,12.0,,3,shoulder,medium,None,True,Shoulder Flexion with Band: Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/52.mp4,https://example.com/image/52.jpg,high,"mobility, strengthening",avoid_overhead_if_painful,sagittal,none
elbow extension,repetition,6.0,,3,elbow,medium,Dumbbell,True,Elbow Extension: Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/53.mp4,https://example.com/image/53.jpg,high,mobility,none,sagittal,none
finger taps (with band) - right,hold,,45.0,3,wrist/hand,medium,None,True,Finger Taps (With Band) - Right: Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/54.mp4,https://example.com/image/54.jpg,high,"mobility, neural_glide",none,sagittal,none
pelvic tilt,repetition,12.0,,3,spine/core,easy,Resistance Band,True,Pelvic Tilt: Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/55.mp4,https://example.com/image/55.jpg,low,"stability, posture_control",avoid_heavy_loads,sagittal,intermediate variation
hip flexor stretch,hold,,15.0,3,hip,easy,Chair,True,Hip Flexor Stretch: Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/56.mp4,https://example.com/image/56.jpg,low,"mobility, strengthening",none,sagittal,intermediate variation
mini squat,repetition,8.0,,3,knee,medium,Resistance Band,True,Mini Squat: Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/57.mp4,https://example.com/image/57.jpg,high,"strengthening, range_of_motion",avoid_high_impact,sagittal,none
balance on single leg,repetition,20.0,,3,ankle/foot,hard,None,True,Balance on Single Leg: Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/58.mp4,https://example.com/image/58.jpg,high,"balance, proprioception",none,sagittal,none
thoracic extension on foam roller,repetition,8.0,,3,chest,medium,None,True,Thoracic Extension on Foam Roller: Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/59.mp4,https://example.com/image/59.jpg,high,mobility,none,sagittal,none
piriformis stretch,hold,,15.0,3,pelvis,easy,None,True,Piriformis Stretch: Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/60.mp4,https://example.com/image/60.jpg,low,mobility,none,sagittal,intermediate variation
chin tucks (lying),hold,,10.0,3,neck,easy,None,True,Chin Tucks (Lying): Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/61.mp4,https://example.com/image/61.jpg,low,"mobility, postural_control",avoid_for_acute_injury,sagittal,intermediate variation
external rotation,hold,,45.0,3,shoulder,hard,None,True,External Rotation: Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/62.mp4,https://example.com/image/62.jpg,high,"mobility, strengthening",avoid_overhead_if_painful,sagittal,none
wrist flexor stretch - left,hold,,30.0,3,elbow,medium,Resistance Band,True,Wrist Flexor Stretch - Left: Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/63.mp4,https://example.com/image/63.jpg,high,mobility,none,sagittal,none
thumb opposition,repetition,12.0,,3,wrist/hand,easy,Resistance Band,True,Thumb Opposition: Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/64.mp4,https://example.com/image/64.jpg,low,"mobility, neural_glide",none,sagittal,intermediate variation
pelvic tilt,hold,,45.0,3,spine/core,easy,None,True,Pelvic Tilt: Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/65.mp4,https://example.com/image/65.jpg,low,"stability, posture_control",avoid_heavy_loads,sagittal,intermediate variation
standing hip extension - left,hold,,15.0,3,hip,easy,None,True,Standing Hip Extension - Left: Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/66.mp4,https://example.com/image/66.jpg,low,"mobility, strengthening",none,sagittal,intermediate variation
straight leg raise,repetition,12.0,,3,knee,easy,None,True,Straight Leg Raise: Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/67.mp4,https://example.com/image/67.jpg,low,"strengthening, range_of_motion",avoid_high_impact,sagittal,intermediate variation
ankle circles - left,repetition,6.0,,3,ankle/foot,medium,Resistance Band,True,Ankle Circles - Left: Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/68.mp4,https://example.com/image/68.jpg,high,"balance, proprioception",none,sagittal,none
pec stretch - right,repetition,8.0,,3,chest,easy,None,True,Pec Stretch - Right: Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/69.mp4,https://example.com/image/69.jpg,low,mobility,none,sagittal,intermediate variation
kegels,repetition,20.0,,3,pelvis,medium,Dumbbell,True,Kegels: Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/70.mp4,https://example.com/image/70.jpg,high,mobility,none,sagittal,none
neck extension - left - right,repetition,20.0,,3,neck,hard,None,True,Neck Extension - Left - Right: Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/71.mp4,https://example.com/image/71.jpg,high,"mobility, postural_control",avoid_for_acute_injury,sagittal,none
shoulder flexion with band (with band) - left,hold,,45.0,3,shoulder,medium,Dumbbell,True,Shoulder Flexion with Band (With Band) - Left: Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/72.mp4,https://example.com/image/72.jpg,high,"mobility, strengthening",avoid_overhead_if_painful,sagittal,none
wrist flexor stretch,repetition,15.0,,3,elbow,medium,None,True,Wrist Flexor Stretch: Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/73.mp4,https://example.com/image/73.jpg,high,mobility,none,sagittal,none
grip strengthening - left,repetition,12.0,,3,wrist/hand,medium,None,True,Grip Strengthening - Left: Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/74.mp4,https://example.com/image/74.jpg,high,"mobility, neural_glide",none,sagittal,none
transverse abdominis activation,repetition,12.0,,3,spine/core,easy,Dumbbell,True,Transverse Abdominis Activation: Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/75.mp4,https://example.com/image/75.jpg,low,"stability, posture_control",avoid_heavy_loads,sagittal,intermediate variation
standing hip extension (with band) - right,hold,,15.0,3,hip,medium,None,True,Standing Hip Extension (With Band) - Right: Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/76.mp4,https://example.com/image/76.jpg,high,"mobility, strengthening",none,sagittal,none
heel slides,repetition,10.0,,3,knee,medium,None,True,Heel Slides: Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/77.mp4,https://example.com/image/77.jpg,high,"strengthening, range_of_motion",avoid_high_impact,sagittal,none
balance on single leg - right,hold,,10.0,3,ankle/foot,easy,None,True,Balance on Single Leg - Right: Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/78.mp4,https://example.com/image/78.jpg,low,"balance, proprioception",none,sagittal,intermediate variation
thoracic extension on foam roller,repetition,6.0,,3,chest,easy,None,True,Thoracic Extension on Foam Roller: Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/79.mp4,https://example.com/image/79.jpg,low,mobility,none,sagittal,intermediate variation
kegels,repetition,12.0,,3,pelvis,hard,None,True,Kegels: Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/80.mp4,https://example.com/image/80.jpg,high,mobility,none,sagittal,none
neck lateral flexion,repetition,8.0,,3,neck,easy,Resistance Band,True,Neck Lateral Flexion: Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/81.mp4,https://example.com/image/81.jpg,low,"mobility, postural_control",avoid_for_acute_injury,sagittal,intermediate variation
shoulder flexion with band (advanced),hold,,45.0,3,shoulder,easy,None,True,Shoulder Flexion with Band (Advanced): Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/82.mp4,https://example.com/image/82.jpg,low,"mobility, strengthening",avoid_overhead_if_painful,sagittal,intermediate variation
elbow extension (slow) - right,repetition,10.0,,3,elbow,easy,None,True,Elbow Extension (Slow) - Right: Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/83.mp4,https://example.com/image/83.jpg,low,mobility,none,sagittal,intermediate variation
finger taps,repetition,6.0,,3,wrist/hand,medium,None,True,Finger Taps: Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/84.mp4,https://example.com/image/84.jpg,high,"mobility, neural_glide",none,sagittal,none
pelvic tilt,hold,,10.0,3,spine/core,medium,None,True,Pelvic Tilt: Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/85.mp4,https://example.com/image/85.jpg,high,"stability, posture_control",avoid_heavy_loads,sagittal,none
hip flexor stretch,hold,,20.0,3,hip,easy,None,True,Hip Flexor Stretch: Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/86.mp4,https://example.com/image/86.jpg,low,"mobility, strengthening",none,sagittal,intermediate variation
mini squat,repetition,15.0,,3,knee,easy,Towel,True,Mini Squat: Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/87.mp4,https://example.com/image/87.jpg,low,"strengthening, range_of_motion",avoid_high_impact,sagittal,intermediate variation
toe raises,repetition,15.0,,3,ankle/foot,hard,None,True,Toe Raises: Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/88.mp4,https://example.com/image/88.jpg,high,"balance, proprioception",none,sagittal,none
doorway stretch - right,repetition,15.0,,3,chest,easy,None,True,Doorway Stretch - Right: Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/89.mp4,https://example.com/image/89.jpg,low,mobility,none,sagittal,intermediate variation
side-lying abduction - right,repetition,10.0,,3,pelvis,medium,None,True,Side-Lying Abduction - Right: Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/90.mp4,https://example.com/image/90.jpg,high,mobility,none,sagittal,none
neck extension,repetition,8.0,,3,neck,easy,None,True,Neck Extension: Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/91.mp4,https://example.com/image/91.jpg,low,"mobility, postural_control",avoid_for_acute_injury,sagittal,intermediate variation
shoulder flexion with band - right,repetition,10.0,,3,shoulder,medium,Dumbbell,True,Shoulder Flexion with Band - Right: Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/92.mp4,https://example.com/image/92.jpg,high,"mobility, strengthening",avoid_overhead_if_painful,sagittal,none
forearm supination,repetition,10.0,,3,elbow,medium,None,True,Forearm Supination: Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/93.mp4,https://example.com/image/93.jpg,high,mobility,none,sagittal,none
wrist flexion stretch,repetition,6.0,,3,wrist/hand,easy,Chair,True,Wrist Flexion Stretch: Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/94.mp4,https://example.com/image/94.jpg,low,"mobility, neural_glide",none,sagittal,intermediate variation
transverse abdominis activation - left,hold,,45.0,3,spine/core,easy,Dumbbell,True,Transverse Abdominis Activation - Left: Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/95.mp4,https://example.com/image/95.jpg,low,"stability, posture_control",avoid_heavy_loads,sagittal,intermediate variation
glute bridge march,hold,,30.0,3,hip,medium,None,True,Glute Bridge March: Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/96.mp4,https://example.com/image/96.jpg,high,"mobility, strengthening",none,sagittal,none
quad sets,repetition,8.0,,3,knee,easy,Resistance Band,True,Quad Sets: Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/97.mp4,https://example.com/image/97.jpg,low,"strengthening, range_of_motion",avoid_high_impact,sagittal,intermediate variation
toe raises,repetition,6.0,,3,ankle/foot,easy,None,True,Toe Raises: Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/98.mp4,https://example.com/image/98.jpg,low,"balance, proprioception",none,sagittal,intermediate variation
wall push-up - right,hold,,30.0,3,chest,easy,None,True,Wall Push-up - Right: Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/99.mp4,https://example.com/image/99.jpg,low,mobility,none,sagittal,intermediate variation
hip rolls,repetition,10.0,,3,pelvis,medium,Towel,True,Hip Rolls: Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/100.mp4,https://example.com/image/100.jpg,high,mobility,none,sagittal,none
neck rotation - right,repetition,8.0,,3,neck,medium,None,True,Neck Rotation - Right: Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/101.mp4,https://example.com/image/101.jpg,high,"mobility, postural_control",avoid_for_acute_injury,sagittal,none
shoulder pendulum - left,hold,,30.0,3,shoulder,hard,Resistance Band,True,Shoulder Pendulum - Left: Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/102.mp4,https://example.com/image/102.jpg,high,"mobility, strengthening",avoid_overhead_if_painful,sagittal,none
elbow extension,repetition,12.0,,3,elbow,hard,None,True,Elbow Extension: Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/103.mp4,https://example.com/image/103.jpg,high,mobility,none,sagittal,none
thumb opposition (with band),hold,,10.0,3,wrist/hand,easy,Dumbbell,True,Thumb Opposition (With Band): Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/104.mp4,https://example.com/image/104.jpg,low,"mobility, neural_glide",none,sagittal,intermediate variation
